Distribution per Share,declared date,ex date,record date,payable date
3.26,6/18/2025,6/20/2025,6/20/2025,6/23/2025
7.0442,5/21/2025,5/22/2025,5/22/2025,5/23/2025
4.6556,4/23/2025,4/24/2025,4/24/2025,4/25/2025
5.3257,3/26/2025,3/27/2025,3/27/2025,3/28/2025
5.9377,2/26/2025,2/27/2025,2/27/2025,2/28/2025
2.9826,1/29/2025,1/30/2025,1/30/2025,1/31/2025
3.5887,1/2/2025,1/3/2025,1/3/2025,1/6/2025
3.3475,12/4/2024,12/5/2024,12/5/2024,12/6/2024
2.2011,11/6/2024,11/7/2024,11/7/2024,11/8/2024
