declared_date,payable_date,after_payable_date,closing_price_declared,closing_price_payable,closing_price_after_payable,percentage_change_payable,percentage_change_after_payable
2025-06-18,2025-06-23,2025-06-24,68.79,65.54,66.69,-4.7245239133595,-3.052769297863074
2025-05-21,2025-05-23,2025-05-26,67.8,61.52,62.04,-9.262536873156334,-8.495575221238935
2025-04-23,2025-04-25,2025-04-28,63.38,63,63.5,-0.5995582202587607,0.1893341748185507
2025-03-26,2025-03-28,2025-03-31,67.06,57.95,57.06,-13.584849388607218,-14.912019087384431
2025-02-26,2025-02-28,2025-03-03,71.46,61.17,60.41,-14.399664147774969,-15.463196193674781
2025-01-29,2025-01-31,2025-02-03,68.82,67.41,67.79,-2.0488230165649473,-1.4966579482708326
2025-01-02,2025-01-06,2025-01-07,70.45,67.35,62.86,-4.400283889283192,-10.773598296664305
2024-12-04,2024-12-06,2024-12-09,69.38,70.51,67.4557,1.6287114442202506,-2.773565869126553
2024-11-06,2024-11-08,2024-11-11,59.5936,60.05,61.11,0.7658540514417572,2.544568544273206
